0,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1011.96068,0,-109.9679615,1054.910836,400.6275161,-20.86351538,1139.827158,802.1011946,54.32236548,1277.362755,1204.68119,116.6970286,1457.456517,1608.308774,166.1124186,1667.646444,2012.765234,159.3586295,1872.557189,2416.10524,154.0809912,2069.440612,2815.461002,149.2633933,2255.230417,3207.491149,144.9150627,2426.273819,3587.95826,141.5575446,2579.001633,3952.630586,139.8691602,2709.811483,4296.856851,140.0520772,2816.34259,4617.164234,140.4115267,2852.532574,4905.812314,137.4399255,2864.466423,5157.437913,135.2005016,2851.776758,5369.383891,139.6776542,2810.04956,5532.371163,155.0447152
950.3453417,0,-85.79791004,993.2585963,400.6275161,3.521836829,1078.084365,802.1011946,78.81558172,1215.453573,1204.68119,141.1179599,1395.33272,1608.308774,190.3352018,1605.385228,2012.765234,182.677065,1810.55599,2416.10524,176.3057219,2008.192897,2815.461002,170.2673686,2195.306643,3207.491149,164.5807847,2368.317863,3587.95826,159.7479385,2523.717958,3952.630586,156.4216698,2657.954075,4296.856851,154.8174482,2768.694778,4617.164234,153.3752659,2810.289914,4905.812314,148.4413063,2828.302711,5157.437913,144.3694254,2822.198159,5369.383891,146.7654393,2787.488252,5532.371163,159.598175
886.61379,0,-60.41720085,929.4902612,400.6275161,29.1246152,1014.22322,802.1011946,104.5286871,1151.420318,1204.68119,166.7539958,1331.076862,1608.308774,215.763349,1540.985521,2012.765234,207.1576635,1746.423323,2416.10524,199.6408305,1944.837957,2815.461002,192.3231543,2133.319797,3207.491149,185.2333737,2308.365328,3587.95826,178.8532428,2466.528477,3952.630586,173.80936,2604.3076,4296.856851,170.3314113,2719.402075,4617.164234,166.9994526,2766.5891,4905.812314,160.0022177,2790.891231,5157.437913,154.0020511,2791.59867,5369.383891,154.2121441,2764.145882,5532.371163,164.3920544
821.6111197,0,-34.41921439,864.450467,400.6275161,55.34867992,949.0889964,802.1011946,130.864554,1086.110519,1204.68119,193.0100192,1265.539809,1608.308774,241.8057984,1475.301291,2012.765234,232.2308406,1681.010937,2416.10524,223.5422752,1880.218361,2815.461002,214.9156223,2070.095221,3207.491149,206.3897944,2247.215334,3587.95826,198.4259132,2408.196361,3952.630586,191.6238223,2549.58888,4296.856851,186.2278599,2669.123841,4617.164234,180.9611657,2722.014631,4905.812314,171.8506344,2752.73203,5157.437913,163.8744855,2760.387515,5369.383891,161.844966,2740.336139,5532.371163,169.3092875
756.1224798,0,-8.43415487,798.9236401,400.6275161,81.56119904,883.4665172,802.1011946,157.1893939,1020.311078,1204.68119,219.2541249,1199.511661,1608.308774,267.8344635,1409.125903,2012.765234,257.2915691,1615.110566,2416.10524,247.432326,1815.117678,2815.461002,237.4979439,2006.400768,3207.491149,227.5375215,2185.611614,3587.95826,217.9913087,2349.432159,3952.630586,209.4320658,2494.465602,4296.856851,202.1186922,2618.47446,4617.164234,194.9181999,2677.111128,4905.812314,183.6993334,2714.290963,5157.437913,173.7513416,2728.94601,5369.383891,169.4825861,2716.351737,5532.371163,174.2263138
690.8645573,0,16.89038892,733.6255355,400.6275161,107.1121171,818.0717237,802.1011946,182.852228,954.7398083,1204.68119,244.8370454,1133.713248,1608.308774,293.2035827,1343.183525,2012.765234,281.7180101,1549.445276,2416.10524,270.7173594,1750.251855,2815.461002,259.5084323,1942.938307,3207.491149,248.1503216,2124.234243,3587.95826,237.0623022,2290.885856,3952.630586,226.7898506,2439.548802,4296.856851,217.605784,2568.016385,4617.164234,208.5196324,2632.377182,4905.812314,195.2546725,2675.994436,5157.437913,183.3928316,2697.623246,5369.383891,176.9406072,2692.461035,5532.371163,179.016908
626.4850453,0,40.92601939,669.2028433,400.6275161,131.3708023,753.5513714,802.1011946,207.2216145,890.0451494,1204.68119,269.1289654,1068.795792,1608.308774,317.2866229,1278.128602,2012.765234,304.9068575,1484.668747,2416.10524,292.8214236,1686.268332,2815.461002,280.4021151,1880.342714,3207.491149,267.7176315,2063.698527,3587.95826,255.1662803,2233.145681,3952.630586,243.2661493,2385.39162,4296.856851,232.3027841,2518.258894,4617.164234,221.4248765,2588.264238,4905.812314,206.2319246,2638.228492,5157.437913,192.5667449,2666.735306,5369.383891,184.0405339,2668.907255,5532.371163,183.5584988
563.5620606,0,63.07759236,606.2326566,400.6275161,153.7400901,690.4825282,802.1011946,229.6996519,826.8056636,1204.68119,291.5334463,1005.340384,1608.308774,339.4901028,1214.545268,2012.765234,326.2867042,1421.364614,2416.10524,313.1990686,1623.745335,2815.461002,299.6629414,1819.181123,3207.491149,285.7560555,2004.55424,3587.95826,271.8558474,2176.737334,3952.630586,258.452977,2332.488516,4296.856851,245.8440069,2469.657336,4617.164234,233.3115973,2545.175936,4905.812314,216.3619477,2601.338254,5157.437913,201.0539011,2636.564803,5369.383891,190.6139987,2645.908047,5532.371163,187.7352335
502.6073952,0,82.80439053,545.2258094,400.6275161,173.6774719,629.3759728,802.1011946,249.7431848,765.5334494,1204.68119,311.5086498,943.8613809,1608.308774,359.2748346,1152.950641,2012.765234,345.3384239,1360.049627,2416.10524,331.3547478,1563.194882,2815.461002,316.8220746,1759.955789,3207.491149,301.8264302,1947.288308,3587.95826,286.724551,2122.126465,3952.630586,271.9796811,2281.277523,4296.856851,257.8972119,2422.615132,4617.164234,243.8869312,2503.469882,4905.812314,225.4002882,2565.629473,5157.437913,208.6553128,2607.362118,5369.383891,196.5081696,2623.656315,5532.371163,191.4418422
444.0728218,0,99.6337453,486.6332455,400.6275161,190.7086891,570.6826104,802.1011946,266.8773676,706.6805768,1204.68119,328.5808635,884.812837,1608.308774,376.1694078,1093.801193,2012.765234,361.6081695,1301.179908,2416.10524,346.8552569,1505.068905,2815.461002,331.4696874,1703.110005,3207.491149,315.5448929,1892.33048,3587.95826,299.4171452,2069.724033,3952.630586,283.5223327,2232.145207,4296.856851,268.1720716,2377.48829,4617.164234,252.8949909,2463.461655,4905.812314,233.1333858,2531.371973,5157.437913,215.1971544,2579.34821,5369.383891,201.5895563,2602.322264,5532.371163,194.5864337
388.3536647,0,113.1587233,430.8495885,400.6275161,204.4254113,514.7970463,802.1011946,280.6933418,650.6426711,1204.68119,342.3421917,828.5921049,1608.308774,389.7679037,1037.49636,2012.765234,374.7051629,1245.154555,2416.10524,359.3276166,1449.762803,2815.461002,343.2529496,1649.031588,3207.491149,326.5809861,1840.056702,3587.95826,309.6278282,2019.889521,3952.630586,292.8021114,2185.429691,4296.856851,276.4187173,2334.588187,4617.164234,260.1155756,2425.427274,4905.812314,239.3774707,2498.801763,5157.437913,220.5298416,2552.71634,5369.383891,205.7432938,2582.054725,5532.371163,197.0900061
335.8021473,0,123.0395477,378.2265157,400.6275161,214.4864777,462.0709847,802.1011946,290.8492461,597.7723321,1204.68119,352.4512508,775.5532724,1608.308774,399.7302317,984.3920006,2012.765234,384.3023848,1192.329026,2416.10524,368.4601375,1397.62865,2815.461002,351.8774359,1598.065791,3207.491149,334.6593713,1790.801592,3587.95826,317.102214,1972.942824,3952.630586,299.5874862,2141.431781,4296.856851,282.4300927,2294.191773,4617.164234,265.36666,2389.612264,4905.812314,243.9813612,2468.128825,5157.437913,224.5308364,2527.638439,5369.383891,208.8756231,2562.985929,5532.371163,198.8885817
286.7253263,0,128.9122608,329.0703584,400.6275161,220.5267786,412.8106235,802.1011946,296.9794948,548.3765332,1204.68119,358.5431465,726.0047124,1608.308774,405.6929843,934.7983446,2012.765234,390.0501557,1143.01355,2416.10524,373.9192169,1348.974029,2815.461002,357.0277285,1550.514485,3207.491149,339.4848102,1744.857947,3587.95826,321.5672658,1929.164085,3952.630586,303.6296471,2100.41515,4296.856851,285.9833182,2256.541994,4617.164234,268.4519579,2356.231984,4905.812314,246.7818455,2439.537259,5157.437913,227.0678407,2504.265305,5369.383891,210.8851753,2545.232247,5532.371163,199.9121944
241.1149025,0,130.4675877,283.3716512,400.6275161,222.2371007,367.0057457,802.1011946,298.7751725,502.444982,1204.68119,360.3096973,679.9365449,1608.308774,407.3489792,888.7069773,2012.765234,391.6526016,1097.201387,2416.10524,375.4220456,1303.793704,2815.461002,358.4359793,1506.373741,3207.491149,340.8062341,1702.223038,3587.95826,322.7904311,1888.55178,3952.630586,304.7161486,2062.379507,4296.856851,286.8873076,2221.639454,4617.164234,269.2025234,2325.286918,4905.812314,247.6390964,2413.02711,5157.437913,228.028532,2482.597256,5369.383891,211.6859434,2528.795703,5532.371163,200.098969
198.8346331,0,127.8694496,240.9944759,400.6275161,219.7817339,324.5204867,802.1011946,296.4005603,459.841453,1204.68119,357.9145326,637.2119007,1608.308774,404.8607686,845.9802168,2012.765234,389.2665257,1054.754866,2416.10524,373.118644,1261.951186,2815.461002,356.2444539,1465.509609,3207.491149,338.7572279,1662.766941,3587.95826,320.895663,1850.981599,3952.630586,302.9603454,2027.207845,4296.856851,285.2440074,2189.376337,4617.164234,267.7085688,2296.681513,4905.812314,246.6289702,2388.516721,5157.437913,227.4750517,2462.567407,5369.383891,211.3259145,2513.624617,5532.371163,199.4823656
159.9925744,0,121.5164512,202.0485883,400.6275161,213.5587947,285.4657994,802.1011946,290.2530874,420.6772579,1204.68119,351.7540062,597.9418363,1608.308774,398.6234216,806.7272784,2012.765234,383.2726496,1015.780441,2416.10524,367.3732128,1223.549633,2815.461002,350.7983456,1428.02134,3207.491149,333.6615844,1626.584146,3587.95826,316.1830985,1816.542155,3952.630586,298.6367035,1994.981677,4296.856851,281.3006586,2159.826313,4617.164234,264.1890193,2270.481162,4905.812314,243.9326207,2366.062608,5157.437913,225.5527074,2444.221587,5369.383891,209.9164171,2499.751411,5532.371163,198.1434428
