0,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,
x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7
1577,0,135.773684677553,1655.33577778942,262,165.247942075507,1957.47008165172,1084,202.169681549294,2258.23196564682,1871,227.998284980868,2562.84876630024,2630,191.762666123059,2838.30710466577,3366,146.261492533738,3130.08725595197,4169,123.652041470776,3339.68271186267,4730,63.3409351771113
1534.82857142857,0,130.035615581306,1615.29407308654,262,158.676641737622,1922.98413832783,1084,194.480750248734,2228.4012442962,1871,219.31163980667,2537.80407496638,2630,183.772501956606,2819.37027324995,3366,139.52923977928,3117.28804600858,4169,118.403683210822,3329.83784061684,4730,60.9829012953512
1492.65714285714,0,124.297546485059,1575.25236838366,262,152.105341399737,1888.49819500395,1084,186.791818948174,2198.57052294557,1871,210.624994632472,2512.75938363252,2630,175.782337790153,2800.43344183414,3366,132.796987024821,3104.4888360652,4169,113.155324950868,3319.99296937102,4730,58.6248674135913
1450.48571428571,0,118.559477388813,1535.21066368079,262,145.534041061852,1854.01225168006,1084,179.102887647614,2168.73980159495,1871,201.938349458274,2487.71469229866,2630,167.792173623701,2781.49661041833,3366,126.064734270363,3091.68962612182,4169,107.906966690913,3310.14809812519,4730,56.2668335318314
1408.31428571429,0,112.821408292566,1495.16895897791,262,138.962740723967,1819.52630835617,1084,171.413956347054,2138.90908024433,1871,193.251704284076,2462.67000096479,2630,159.802009457248,2762.55977900252,3366,119.332481515905,3078.89041617844,4169,102.658608430959,3300.30322687936,4730,53.9087996500714
1366.14285714286,0,107.083339196319,1455.12725427503,262,132.391440386082,1785.04036503229,1084,163.725025046495,2109.07835889371,1871,184.565059109879,2437.62530963093,2630,151.811845290795,2743.6229475867,3366,112.600228761446,3066.09120623505,4169,97.4102501710048,3290.45835563354,4730,51.5507657683115
1323.97142857143,0,101.345270100072,1415.08554957215,262,125.820140048197,1750.5544217084,1084,156.036093745935,2079.24763754309,1871,175.878413935681,2412.58061829707,2630,143.821681124342,2724.68611617089,3366,105.867976006988,3053.29199629167,4169,92.1618919110504,3280.61348438771,4730,49.1927318865516
1281.8,0,95.6072010038256,1375.04384486928,262,119.248839710313,1716.06847838451,1084,148.347162445375,2049.41691619247,1871,167.191768761483,2387.53592696321,2630,135.83151695789,2705.74928475508,3366,99.1357232525296,3040.49278634829,4169,86.9135336510961,3270.76861314189,4730,46.8346980047916
1239.62857142857,0,89.8691319075788,1335.0021401664,262,112.677539372427,1681.58253506063,1084,140.658231144815,2019.58619484184,1871,158.505123587285,2362.49123562934,2630,127.841352791437,2686.81245333927,3366,92.4034704980713,3027.69357640491,4169,81.6651753911418,3260.92374189606,4730,44.4766641230317
1197.45714285714,0,84.1310628113321,1294.96043546352,262,106.106239034542,1647.09659173674,1084,132.969299844255,1989.75547349122,1871,149.818478413087,2337.44654429548,2630,119.851188624984,2667.87562192346,3366,85.671217743613,3014.89436646153,4169,76.4168171311874,3251.07887065024,4730,42.1186302412718
1155.28571428571,0,78.3929937150853,1254.91873076064,262,99.5349386966575,1612.61064841285,1084,125.280368543695,1959.9247521406,1871,141.13183323889,2312.40185296162,2630,111.861024458531,2648.93879050764,3366,78.9389649891546,3002.09515651814,4169,71.1684588712331,3241.23399940441,4730,39.7605963595119
1113.11428571429,0,72.6549246188385,1214.87702605777,262,92.9636383587725,1578.12470508897,1084,117.591437243136,1930.09403078998,1871,132.445188064692,2287.35716162776,2630,103.870860292079,2630.00195909183,3366,72.2067122346963,2989.29594657476,4169,65.9201006112788,3231.38912815858,4730,37.4025624777519
1070.94285714286,0,66.9168555225917,1174.83532135489,262,86.3923380208875,1543.63876176508,1084,109.902505942576,1900.26330943936,1871,123.758542890494,2262.31247029389,2630,95.8806961256259,2611.06512767602,3366,65.474459480238,2976.49673663138,4169,60.6717423513244,3221.54425691276,4730,35.044528595992
1028.77142857143,0,61.178786426345,1134.79361665201,262,79.8210376830025,1509.15281844119,1084,102.213574642016,1870.43258808873,1871,115.071897716296,2237.26777896003,2630,87.8905319591731,2592.12829626021,3366,58.7422067257797,2963.697526688,4169,55.4233840913701,3211.69938566693,4730,32.6864947142321
986.6,0,55.4407173300982,1094.75191194913,262,73.2497373451175,1474.66687511731,1084,94.5246433414562,1840.60186673811,1871,106.385252542098,2212.22308762617,2630,79.9003677927204,2573.19146484439,3366,52.0099539713214,2950.89831674461,4169,50.1750258314157,3201.85451442111,4730,30.3284608324722
944.428571428571,0,49.7026482338514,1054.71020724626,262,66.6784370072325,1440.18093179342,1084,86.8357120408964,1810.77114538749,1871,97.6986073679005,2187.17839629231,2630,71.9102036262677,2554.25463342858,3366,45.277701216863,2938.09910680123,4169,44.9266675714614,3192.00964317528,4730,27.9704269507122
902.257142857143,0,43.9645791376047,1014.66850254338,262,60.1071366693475,1405.69498846953,1084,79.1467807403365,1780.94042403687,1871,89.0119621937027,2162.13370495845,2630,63.9200394598149,2535.31780201277,3366,38.5454484624047,2925.29989685785,4169,39.6783093115071,3182.16477192946,4730,25.6123930689523
860.085714285714,0,38.2265100413579,974.626797840502,262,53.5358363314626,1371.20904514565,1084,71.4578494397767,1751.10970268625,1871,80.3253170195049,2137.08901362458,2630,55.9298752933622,2516.38097059696,3366,31.8131957079464,2912.50068691447,4169,34.4299510515527,3172.31990068363,4730,23.2543591871924
