x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7
512.524116,0.0,276.684486,635.0643121683423,262.0,273.199260098569,1053.7647101091516,1084.0,247.0527043074128,1476.2993865172848,1871.0,219.02134760988878,1914.3473145644348,2630.0,172.89040802526256,2339.3665345568215,3366.0,124.52762630440132,2805.879143647261,4169.0,109.0658393758021,3058.758179071705,4730.0,44.256716066353334
571.298442,0.0,272.068524,691.4557679493737,262.0,270.25316276757997,1103.1132417116578,1084.0,247.23303978847036,1518.9755561836603,1871.0,221.7881048714155,1950.5536207942596,2630.0,175.8730734850722,2369.1205938921967,3366.0,127.39753078386634,2828.570861003359,4169.0,111.25455119333866,3067.339500759532,4730.0,45.387897189465136
635.189256,0.0,265.38759,752.7979748416784,262.0,265.45816341997204,1156.8717863526429,1084.0,246.04161646670718,1565.5388908609661,1871.0,223.60162263305216,1990.0756521421474,2630.0,178.10372733682937,2401.6112675939703,3366.0,129.68681848757097,2853.3496374398665,4169.0,113.00045984175937,3076.7186199493826,4730.0,46.37871240837093
703.46874,0.0,257.27036400000003,818.3782930183061,262.0,259.397967341056,1214.3900492959792,1084.0,243.9529858945806,1615.4017897300628,1871.0,224.83797693107635,2032.4087498924641,2630.0,179.8930810557555,2436.419783903166,3366.0,131.6453260424537,2879.8960997148242,4169.0,114.4941014109399,3086.7718264303194,4730.0,47.29722834289616
775.556574,0.0,248.04085800000001,887.6329490928961,262.0,252.36826198874667,1275.1616809300886,1084.0,241.19764962764185,1668.1140736547245,1871.0,225.66975973576302,2077.167992238885,2630.0,181.38105275581637,2473.227845369317,3366.0,133.38374736561354,2907.9675005882755,4169.0,115.81989581318659,3097.405891667627,4730.0,48.17226139835003
850.85793,0.0,237.921528,959.9868247250166,262.0,244.5671323987701,1338.6751939077103,1084.0,237.92039200921454,1723.2256542819603,1871.0,226.1951471551103,2123.969637741601,2630.0,182.6443562256917,2511.718851788092,3366.0,134.9607892973367,2937.3223872127082,4169.0,117.02261539406847,3108.5286036355114,4730.0,49.0176009474134
928.9012979999999,0.0,227.14208399999998,1034.9826952213955,262.0,236.20270114237255,1404.5214802485755,1084.0,234.2805069854499,1780.3742321882894,1871.0,226.5302822282792,2172.5042427766775,2630.0,183.77626712461858,2551.637140366724,3366.0,136.44963832678167,2967.7657802151725,4169.0,118.15807529825365,3120.0652382445383,4730.0,49.85184233112416
1009.1547180000001,0.0,215.86211400000002,1112.1072138782008,262.0,227.4144341609187,1472.2458115833451,1084.0,230.37464378590602,1839.1613612258477,1871.0,226.73470775792617,2222.4325013604266,2630.0,184.82145137957917,2592.7030378421277,3366.0,137.88314477161094,2999.0843888118297,4169.0,119.25132858203453,3131.9345307961753,4730.0,50.68166564471464
1091.103156,0.0,204.22428,1190.8636648168388,262.0,218.3260153319066,1541.4087408059663,1084.0,226.28649218643443,1899.202498917382,1871.0,226.85756527219257,2273.4270709011907,2630.0,185.81594664709797,2634.646812820012,3366.0,139.2871975780111,3031.0725043129087,4169.0,120.32211926228267,3144.058163949229,4730.0,51.511836947181024
1174.2460859999999,0.0,192.38091599999998,1270.768980893654,262.0,209.07075311316666,1611.5822606006468,1084.0,222.10880580041953,1960.1225185060946,1871.0,226.95644159615443,2325.1684809136464,2630.0,186.80310325365775,2677.205126581257,3366.0,140.69379254538484,3063.529293355946,4169.0,121.39484870314273,3156.359608582293,4730.0,52.34895411901397
1258.09749,0.0,180.50369999999998,1351.3535011966821,262.0,199.80084136832008,1682.3491400676874,1084.0,217.95147085506167,2021.554708271044,1871.0,227.1043131218579,2377.34418012692,2630.0,187.8394675278388,2720.1201815112454,3366.0,142.14586182357107,3096.2581484616057,4169.0,122.5022587970286,3168.763828559151,4730.0,53.202835831791674
1342.144752,0.0,168.609558,1432.125977595932,262.0,190.51963386971573,1753.2805731592628,1084.0,213.79344887806616,2083.1292707022712,1871.0,227.2602960381256,2429.6406843768127,2630.0,188.88483203131761,2763.1345240086143,3366.0,143.6067237875523,3129.062724509762,4169.0,123.61637456890664,3181.19669183082,4730.0,54.060265348451026
1425.901854,0.0,156.829062,1512.6177798182478,262.0,181.33996597277593,1823.9621483158787,1084.0,209.71033379742784,2144.48374698838,1871.0,227.4678535893505,2481.7494921829366,2630.0,189.97073893108023,2805.993975634067,3366.0,145.09878522397923,3161.7491741588638,4169.0,124.75428439195655,3193.584417008136,4730.0,54.92515821979978
1508.865852,0.0,145.25893200000002,1592.3449199072918,262.0,172.34183576313188,1893.967655429125,1084.0,205.74831791935827,2205.2470282415075,1871.0,227.74439287675153,2533.3551413552336,2630.0,191.10647117083545,2848.43888682549,3366.0,146.62605943056917,3194.1194775552585,4169.0,125.91904897854836,3205.851825326252,4730.0,55.796051942518375
1590.603924,0.0,133.879824,1670.8934609302917,262.0,163.4958695694682,1962.9373435086395,1084.0,201.86157769736747,2265.1103597467377,1871.0,228.03124472445666,2584.196258564203,2630.0,192.2376201747344,2890.25484072358,3366.0,148.1407796256987,3226.010111237734,4169.0,127.0742393394343,3217.937350865081,4730.0,56.656956829027735
1670.58411,0.0,122.744934,1747.7527237191553,262.0,154.83966425310518,2030.423781300907,1084.0,198.05800582189295,2323.6863028867947,1871.0,228.31156496472607,2633.944019636822,2630.0,193.34413521622076,2931.1715313425475,3366.0,149.62267165760193,3257.21492830848,4169.0,128.20439353994772,3229.7629765067,4730.0,57.49927430903668
1748.41953,0.0,111.86877,1822.551911500666,262.0,146.37741092226574,2096.103222693332,1084.0,194.32317049072537,2380.6955858333376,1871.0,228.55574261865854,2682.3616619496784,2630.0,194.39672561835852,2970.9945014375658,3366.0,151.04491694557868,3287.585627361369,4169.0,129.28905858420407,3241.2727006154864,4730.0,58.313278452896355
1823.604822,0.0,101.379486,1894.803932976563,262.0,138.21914471950922,2159.545284417394,1084.0,190.72932168945692,2435.7621114060476,1871.0,228.80350349394053,2729.129155581075,2630.0,195.42355693134147,3009.4601264675616,3366.0,152.42701176064799,3316.9211570539023,4169.0,130.34310316176507,3252.390037671741,4730.0,59.10194709981434
